"","CONTROL","transport_mode","journey_time","journey_distance","gender","income","age","transport_wide","percent_time"
"552",2082,"Truck",25,17,"female",0,61,"Personal_vehicle",1.73611111111111
"553",2084,"Motorcycle",3,2,"female",0,41,"Personal_vehicle",0.208333333333333
"554",2090,"Car",20,4,"female",0,62,"Personal_vehicle",1.38888888888889
"555",2092,"Truck",30,20,"male",0,50,"Personal_vehicle",2.08333333333333
"556",2094,"Car",10,3,"male",0,55,"Personal_vehicle",0.694444444444444
"558",2098,"Car",40,8,"female",12000,56,"Personal_vehicle",2.77777777777778
"559",2100,"Car",20,6,"female",0,66,"Personal_vehicle",1.38888888888889
"560",2104,"Car",15,10,"female",19000,45,"Personal_vehicle",1.04166666666667
"561",2106,"Works_home",NA,NA,"male",48270,48,"Other",NA
"562",2111,"Truck",20,5,"female",28000,27,"Personal_vehicle",1.38888888888889
"563",2113,"Car",15,3,"male",47000,39,"Personal_vehicle",1.04166666666667
"564",2122,"Truck",90,80,"female",0,17,"Personal_vehicle",6.25
"565",2124,"Truck",60,20,"male",61000,57,"Personal_vehicle",4.16666666666667
"566",2127,"Car",30,5,"female",45000,40,"Personal_vehicle",2.08333333333333
"567",2131,"Other",20,3,"male",23300,39,"Other",1.38888888888889
"568",2136,"Car",10,4,"male",8690,70,"Personal_vehicle",0.694444444444444
"569",2140,"Works_home",NA,NA,"male",0,17,"Other",NA
"570",2144,"Truck",15,5,"female",32000,51,"Personal_vehicle",1.04166666666667
"571",2146,"Bus_Streetcar",5,2,"female",44000,37,"Public_transit",0.347222222222222
"572",2150,"Car",15,4,"male",23600,33,"Personal_vehicle",1.04166666666667
"573",2152,"Car",20,15,"male",0,59,"Personal_vehicle",1.38888888888889
"574",2154,"Works_home",NA,NA,"male",47000,38,"Other",NA
"575",2156,"Car",15,8,"female",23000,58,"Personal_vehicle",1.04166666666667
"576",2159,"Van",5,3,"female",0,16,"Personal_vehicle",0.347222222222222
"578",2164,"Car",10,4,"male",0,72,"Personal_vehicle",0.694444444444444
"579",2166,"Car",10,8,"female",34000,42,"Personal_vehicle",0.694444444444444
"580",2168,"Car",20,16,"female",0,20,"Personal_vehicle",1.38888888888889
"581",2176,"Car",40,20,"female",29000,32,"Personal_vehicle",2.77777777777778
"583",2181,"Car",20,8,"male",30000,67,"Personal_vehicle",1.38888888888889
"584",2183,"Van",45,25,"male",44000,54,"Personal_vehicle",3.125
"586",2192,"Truck",5,5,"male",36000,63,"Personal_vehicle",0.347222222222222
"587",2199,"Car",20,5,"female",32000,38,"Personal_vehicle",1.38888888888889
"588",2201,"Truck",15,6,"male",28000,32,"Personal_vehicle",1.04166666666667
"589",2205,"Car",20,8,"female",0,79,"Personal_vehicle",1.38888888888889
"591",2214,"Truck",45,30,"male",3000,38,"Personal_vehicle",3.125
"593",2220,"Car",30,12,"female",11000,36,"Personal_vehicle",2.08333333333333
"594",2222,"Car",12,5,"female",25000,37,"Personal_vehicle",0.833333333333333
"595",2223,"Truck",20,10,"female",33000,28,"Personal_vehicle",1.38888888888889
"596",2228,"Truck",6,3,"male",51000,36,"Personal_vehicle",0.416666666666667
"598",2243,"Truck",20,15,"female",0,84,"Personal_vehicle",1.38888888888889
"599",2247,"Car",30,15,"male",0,69,"Personal_vehicle",2.08333333333333
"600",2249,"Car",30,15,"male",3000,41,"Personal_vehicle",2.08333333333333
"601",2257,"Car",30,15,"male",75000,57,"Personal_vehicle",2.08333333333333
"604",2273,"Van",30,10,"male",27000,38,"Personal_vehicle",2.08333333333333
"606",2287,"Car",20,12,"female",9000,41,"Personal_vehicle",1.38888888888889
