SMSA	PERSON	PASS	TRAN	TIMEJ	DISTJ	WHHRW	WHHRB	AMPM	HJOB	VEHCL	WHDY	WHOME	WTIME	JTRAN	JVEHCL	JPASS	JTIMEJ	JDISTJ	JWTIME	JWHHRW	JWHHRB	JWHDY	CONTROL
5560	2	 	1	15	8	 	0	1	1	1	B	2	0845	 	 	 	 	 	 	 	 	 	000000003255
5560	1	 	2	15	10	 	0	2	1	1	B	2	1200	 	 	 	 	 	 	 	 	 	000000003262
5560	1	 	11	2	0	35	35	1	1	B	4	1	0700	 	 	 	 	 	 	 	 	 	000000003272
5560	1	4	1	15	8	 	2	1	1	2	B	2	0600	 	 	 	 	 	 	 	 	 	000000003278
5560	2	 	1	5	2	 	22	1	1	1	B	2	0745	 	 	 	 	 	 	 	 	 	000000003278
5560	1	 	2	30	15	 	0	1	1	1	B	2	0330	 	 	 	 	 	 	 	 	 	000000003281
5560	1	 	2	15	4	 	0	2	1	1	B	2	1100	 	 	 	 	 	 	 	 	 	000000003286
5560	1	 	1	15	11	 	0	1	1	1	B	2	0900	 	 	 	 	 	 	 	 	 	000000003290
5560	2	 	1	20	11	 	0	1	1	1	B	2	0730	 	 	 	 	 	 	 	 	 	000000003302
5560	1	 	2	8	4	 	0	1	1	1	B	2	0800	 	 	 	 	 	 	 	 	 	000000003304
5560	2	 	1	10	3	 	0	1	1	1	B	2	0750	 	 	 	 	 	 	 	 	 	000000003304
5560	1	 	1	2	2	 	0	1	1	1	B	2	0445	 	 	 	 	 	 	 	 	 	000000003313
5560	3	 	1	4	2	 	2	1	1	1	B	2	0330	 	 	 	 	 	 	 	 	 	000000003313
5560	1	 	2	10	10	 	0	1	1	1	B	2	0800	 	 	 	 	 	 	 	 	 	000000003318
5560	5	 	2	20	20	 	0	1	1	1	B	2	0645	 	 	 	 	 	 	 	 	 	000000003318
5560	1	 	1	20	11	 	0	1	1	1	B	2	0400	 	 	 	 	 	 	 	 	 	000000003326
5560	2	 	11	5	0	 	0	1	1	B	B	2	0500	 	 	 	 	1	 	 	 	 	000000003326
5560	1	7	1	7	5	 	0	1	1	2	B	2	0600	 	 	 	 	 	 	 	 	 	000000003340
5560	2	 	1	10	10	 	2	2	1	1	B	2	1100	 	 	 	 	 	 	 	 	 	000000003342
5560	1	 	1	15	8	 	2	2	1	1	B	2	0200	 	 	 	 	 	 	 	 	 	000000003343
5560	1	 	1	10	5	 	0	2	1	1	B	2	0130	 	 	 	 	 	 	 	 	 	000000003345
5560	1	 	1	10	4	 	0	1	1	1	B	2	1015	 	 	 	 	 	 	 	 	 	000000003349
5560	2	 	1	40	15	 	2	1	1	1	B	2	0645	 	 	 	 	 	 	 	 	 	000000003349
5560	1	 	1	22	8	 	0	1	1	1	B	2	0840	 	 	 	 	2	 	 	 	 	000000003352
5560	1	 	1	10	1	 	0	1	1	1	B	2	0900	 	 	 	 	 	 	 	 	 	000000003357
5560	1	 	1	15	10	 	0	1	1	1	B	2	0800	 	 	 	 	 	 	 	 	 	000000003361
5560	1	 	1	6	8	 	0	1	1	1	B	2	0410	 	 	 	 	1	 	 	 	 	000000003365
5560	2	 	1	25	20	 	0	2	1	1	B	2	0330	 	 	 	 	 	 	 	 	 	000000003365
5560	2	 	1	15	10	 	0	2	1	1	B	2	0145	 	 	 	 	 	 	 	 	 	000000003370
5560	1	 	1	20	4	 	2	1	1	1	B	2	0800	 	 	 	 	 	 	 	 	 	000000003372
5560	1	 	1	45	50	 	0	1	1	1	B	2	0530	 	 	 	 	 	 	 	 	 	000000003373
5560	2	 	1	45	50	 	0	1	1	1	B	2	0530	 	 	 	 	 	 	 	 	 	000000003373
5560	1	2	1	15	7	 	2	2	1	2	B	2	0600	 	 	 	 	 	 	 	 	 	000000003384
5560	2	 	1	25	12	 	2	D	D	1	B	2	D	 	 	 	2	2	 	 	 	 	000000003384
5560	3	 	1	30	14	 	0	1	2	1	B	2	D	 	 	 	 	2	 	 	 	 	000000003384
